lr,batch_size,dropout_1_2,dropout_3,optimizer_name,use_scheduler,epochs,macro_f1,timestamp
0.0005,8,0.3,0.1,Adam,False,100,0.8725727904808015,2025-05-29 11:19:07
0.01,32,0.5,0.1,Adam,True,100,0.863472564461191,2025-05-29 11:19:15
0.01,32,0.5,0.1,Adam,True,100,0.8712738467075808,2025-05-29 11:19:22
0.01,16,0.3,0.3,Adam,False,100,0.8680101822655502,2025-05-29 11:19:35
0.0005,8,0.5,0.1,RMSprop,True,100,0.8588727242515789,2025-05-29 11:19:56
0.0005,16,0.3,0.1,Adam,False,100,0.8827114955344841,2025-05-29 11:20:10
0.001,16,0.4,0.2,Adam,True,100,0.8663772369203782,2025-05-29 11:20:24
0.01,16,0.5,0.2,Adam,True,100,0.8728726859974498,2025-05-29 11:20:38
0.005,8,0.5,0.2,Adam,False,100,0.8622751325768375,2025-05-29 11:21:03
0.005,16,0.4,0.1,Adam,False,100,0.8828088818290929,2025-05-29 11:21:16
